,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Locri,IT,38.24,16.26,20.56,77,1,1.5,09/30/2020
1,Tuktoyaktuk,CA,69.45,-133.04,2.0,93,90,8.2,09/30/2020
2,Badou,TG,7.58,0.6,21.4,93,99,0.84,09/30/2020
3,Carnarvon,AU,-24.87,113.63,23.0,64,0,9.3,09/30/2020
4,Rikitea,PF,-23.12,-134.97,22.62,81,70,11.23,09/30/2020
5,Kapaa,US,22.08,-159.32,28.0,69,20,3.1,09/30/2020
6,Kampong Cham,KH,11.99,105.46,31.19,65,61,1.77,09/30/2020
7,Mataura,NZ,-46.19,168.86,16.67,51,92,0.89,09/30/2020
8,Bluff,NZ,-46.6,168.33,16.67,51,94,0.89,09/30/2020
9,Sooke,CA,48.37,-123.73,15.0,92,40,2.42,09/30/2020
10,Cairns,AU,-16.92,145.77,29.44,48,4,6.7,09/30/2020
11,Fortuna,US,40.6,-124.16,13.33,100,75,2.28,09/30/2020
12,Morondava,MG,-20.28,44.28,26.53,55,0,1.24,09/30/2020
13,Beringovskiy,RU,63.05,179.32,4.64,81,100,4.0,09/30/2020
14,Busselton,AU,-33.65,115.33,17.78,77,92,2.68,09/30/2020
15,Cherskiy,RU,68.75,161.3,4.09,72,100,6.06,09/30/2020
16,Ushuaia,AR,-54.8,-68.3,-2.0,100,100,9.3,09/30/2020
17,Ilulissat,GL,69.22,-51.1,-7.0,57,0,6.2,09/30/2020
18,Anzio,IT,41.49,12.62,16.11,98,8,0.45,09/30/2020
19,Punta Arenas,CL,-53.15,-70.92,-2.0,86,20,7.2,09/30/2020
20,Los Llanos de Aridane,ES,28.66,-17.92,23.0,73,90,6.7,09/30/2020
21,Hilo,US,19.73,-155.09,27.0,78,1,2.1,09/30/2020
22,Terney,RU,45.05,136.61,15.04,64,100,4.93,09/30/2020
23,Hithadhoo,MV,-0.6,73.08,28.26,71,99,1.57,09/30/2020
24,Batagay,RU,67.63,134.63,2.39,69,93,1.86,09/30/2020
25,Port-Gentil,GA,-0.72,8.78,25.15,75,100,3.99,09/30/2020
26,Castro,BR,-24.79,-50.01,17.67,94,29,3.16,09/30/2020
27,Faanui,PF,-16.48,-151.75,26.11,78,25,11.16,09/30/2020
28,Mar del Plata,AR,-38.0,-57.56,12.22,81,62,4.1,09/30/2020
29,Tigil',RU,57.8,158.67,8.16,82,99,3.12,09/30/2020
30,Hermanus,ZA,-34.42,19.23,11.11,91,100,0.45,09/30/2020
31,Artigas,UY,-30.4,-56.47,22.29,85,55,3.16,09/30/2020
32,Hobart,AU,-42.88,147.33,15.0,38,75,4.6,09/30/2020
33,BedÄ“sa,ET,8.9,40.78,16.8,78,90,1.28,09/30/2020
34,Khandyga,RU,62.67,135.6,5.12,67,100,2.21,09/30/2020
35,Flinders,AU,-34.58,150.86,24.44,36,0,3.58,09/30/2020
36,Pimentel,PE,-6.84,-79.93,16.18,90,22,5.49,09/30/2020
37,Yulara,AU,-25.24,130.99,34.0,14,0,5.7,09/30/2020
38,Tateyama,JP,34.98,139.87,23.33,77,75,5.1,09/30/2020
39,Atuona,PF,-9.8,-139.03,25.79,77,3,9.78,09/30/2020
40,Alexandria,EG,31.22,29.96,25.0,65,40,4.1,09/30/2020
41,Cabo San Lucas,MX,22.89,-109.91,27.22,80,8,0.89,09/30/2020
